row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
14,holdout,0.25,2.0,254,0.0600,0.0230,7.7000e-05,0.00,3.60,0.00,67.08,3.34,28.17,1.41,-1.9544,1
15,holdout,0.25,2.0,269,0.2200,0.0160,1.0000e-03,51.70,3.60,10.20,70.32,5.91,16.13,7.64,-1.9207,1
16,holdout,0.25,2.0,285,0.1400,0.0200,4.2000e-04,31.50,7.10,5.70,71.10,5.51,17.29,6.10,-1.9292,1
18,holdout,0.25,2.0,290,0.2900,0.0130,1.8000e-03,68.80,2.30,13.00,70.67,5.89,15.80,7.63,-1.9238,1
20,holdout,0.25,6.0,80,0.2900,0.1200,1.6000e-02,41.80,22.60,6.70,59.97,7.58,15.92,16.53,-1.8423,1
21,holdout,0.25,6.0,85,0.1600,0.1700,4.9000e-03,70.30,3.70,14.00,60.55,7.51,15.92,16.01,-1.8464,1
22,holdout,0.25,6.0,101,0.0800,0.2000,1.2000e-03,64.30,16.70,10.70,62.94,7.14,16.65,13.27,-1.8607,1
23,holdout,0.25,6.0,116,0.2400,0.1400,1.1000e-02,58.20,2.80,12.60,62.38,7.35,14.99,15.28,-1.8626,1
24,holdout,0.25,6.0,131,0.0400,0.2200,3.1000e-04,22.60,19.30,3.20,66.36,4.71,25.39,3.54,-1.9054,1
25,holdout,0.25,6.0,147,0.2000,0.1500,7.7000e-03,58.50,6.10,11.40,64.11,7.15,14.60,14.13,-1.8762,1
26,holdout,0.25,6.0,162,0.1200,0.1800,2.8000e-03,52.60,22.40,7.50,65.12,7.00,14.71,13.17,-1.8831,1
27,holdout,0.25,6.0,177,0.2800,0.1200,1.5000e-02,55.50,7.10,10.20,65.21,7.04,14.12,13.64,-1.8858,1
29,holdout,0.25,6.0,208,0.1800,0.1600,6.2000e-03,60.20,6.70,10.80,66.84,6.79,14.27,12.10,-1.8972,1
30,holdout,0.25,6.0,223,0.1000,0.1900,1.9000e-03,40.60,32.50,5.70,67.82,6.59,14.64,10.95,-1.9034,1
31,holdout,0.25,6.0,239,0.2600,0.1300,1.3000e-02,61.10,4.50,11.90,67.63,6.70,13.91,11.76,-1.9042,1
32,holdout,0.25,6.0,254,0.0600,0.2100,6.9000e-04,0.10,6.30,0.80,70.41,4.69,21.22,3.67,-1.9365,1
33,holdout,0.25,6.0,269,0.2200,0.1400,9.3000e-03,59.40,7.30,10.80,68.81,6.49,14.09,10.61,-1.9127,1
34,holdout,0.25,6.0,285,0.1400,0.1800,3.8000e-03,47.60,20.70,6.80,69.75,6.26,14.60,9.39,-1.9189,1
36,holdout,0.25,6.0,290,0.2900,0.1200,1.6000e-02,62.00,5.70,11.40,69.14,6.47,13.80,10.60,-1.9159,1
